Date,Close,High,Low,Open,Volume,RSI,MA20,MACD,BB_high,BB_low,Return_1d,Volume_z,Ticker
2024-04-17,404.7376708984375,411.65627202245037,403.25370178177224,410.05437714655454,15855500,42.8132776896649,414.9131774902344,0.5789542462953818,424.1416207818412,405.68473419862755,-0.006609250373876052,-0.7395954863901045,MSFT
2024-04-18,397.29827880859375,404.78689570186344,396.98382006074763,403.54861503604855,21029900,36.842118624562445,413.8832489013672,-0.642587196299246,425.76590954948097,402.00058825325345,-0.018380775066797694,1.4333557128182013,MSFT
2024-04-19,392.2371520996094,398.48748919707197,390.9104269146069,397.06248251849496,30565800,33.42652754356082,412.39683532714844,-1.996049007638021,426.99157118134934,397.80209947294753,-0.012738858884970616,3.401145665841547,MSFT
2024-04-22,394.0453796386719,395.90280071692837,388.9252352238132,393.18055056464544,20286900,35.71946041398712,411.0317901611328,-2.88946049195107,427.05956555346603,395.00401476879955,0.004610036375654936,0.5520662483501418,MSFT
2024-04-23,400.5413513183594,401.1604915950337,396.10911790196513,397.26876128202184,15734500,43.27768518217775,410.28047332763674,-3.0383012588656584,426.7888549470759,393.7720917081976,0.016485339037966007,-0.6428676437803343,MSFT
2024-04-24,402.00567626953125,405.3568737379943,399.76499652417516,402.4970536697523,15065300,44.8518466827373,409.66183013916014,-3.0034776327495365,426.4347669491154,392.8888933292049,0.0036558646101136905,-0.7891293903904949,MSFT
2024-04-25,392.1584777832031,392.9938253486681,381.3383380037112,387.2348667133991,40586500,37.34600493342422,408.56163787841797,-3.727498002847085,426.8294319087093,390.29384384812664,-0.024495172749068095,3.3980193086032457,MSFT
2024-04-26,399.31292724609375,405.8777219430486,398.7625869715763,405.0620486762338,29694700,44.59999697682024,407.8540542602539,-3.6815465065636204,426.401547981817,389.30656053869086,0.018243770996188458,1.5049989149952396,MSFT
2024-04-29,395.3131103515625,399.31292950505053,392.30588312333157,398.2613746922827,19582100,41.69365416308268,406.7573013305664,-3.9226633884515536,425.54568157148384,387.968921089649,-0.010016747822607308,-0.03272434420663319,MSFT
2024-04-30,382.61590576171875,395.2246663994194,382.4586913890698,394.5662074998568,28781400,34.09759342541268,405.1794860839844,-5.079752327143922,426.35991214434836,383.9990600236204,-0.03211936122875303,1.2204369565646962,MSFT
2024-05-01,388.1291809082031,394.7922572147303,383.57902141142335,385.8393454420747,23562500,39.27126588285374,403.92598114013674,-5.488609149737158,426.0077499242974,381.8442123559761,0.01440942486567165,0.416175433063392,MSFT
2024-05-02,390.9791564941406,393.0331103770738,387.84416635932274,390.80226783236736,17709400,41.814175952389306,402.9412582397461,-5.519041836939323,425.483302032638,380.3992144468542,0.007342853168805119,-0.4198597308050448,MSFT
2024-05-03,399.64703369140625,400.1285739017596,394.9297930918896,395.3425632659736,17446700,48.83184416426134,402.01451721191404,-4.788535455484634,423.4720001110642,380.5570343127639,0.022169665705428887,-0.46596413930174085,MSFT
2024-05-06,406.4084167480469,406.7916755135943,399.36205183771864,401.7108501382599,16996600,53.53912885990164,401.47154388427737,-3.622261602755543,421.88165234669736,381.06143542185737,0.01691838669284751,-0.559729479416855,MSFT
2024-05-07,402.28082275390625,407.5189223273103,402.0351340682459,407.5090851826696,20018200,50.48571729804202,400.63914947509767,-2.996501705104322,419.42695019234395,381.8513487578514,-0.010156270943324275,-0.17708338107852026,MSFT
2024-05-08,403.46014404296875,405.1210019721616,399.6961765499289,401.1310200807253,11792300,51.33962193922837,400.0141174316406,-2.378008899496706,417.5086850212389,382.51954984204235,0.00293158714598718,-1.356473720169082,MSFT
2024-05-09,405.20947265625,405.60256858412407,402.04500095122404,403.48965172941627,14689700,52.64421734705947,399.24707946777346,-1.726787365844416,414.2390256259439,384.255133309603,0.004335815170618096,-0.8878286432360695,MSFT
2024-05-10,407.5876770019531,408.2166544093559,404.69837576819543,405.81873052839654,13402300,54.43282436063514,398.89525299072267,-1.0071782692705256,412.71137502831914,385.0791309531262,0.005869073914075651,-1.0048280896186832,MSFT
2024-05-13,406.5852966308594,411.13545592488975,403.7353138522874,410.8013229086305,15440200,53.51536160383043,398.89918060302733,-0.5118661204264185,412.7239974351712,385.07436377088345,-0.0024592999927447456,-0.6731486187439283,MSFT
2024-05-14,409.3763122558594,410.29026696650755,404.4527014093116,404.9145973369448,15109300,55.75170510597838,398.99647216796876,0.10467730667858177,413.0849475374331,384.9079967985044,0.006864526701106932,-0.702760502992142,MSFT
2024-05-15,416.5338439941406,417.2525598208021,410.81374213755174,411.433999213995,22239500,60.94129029437242,399.5862808227539,1.1575024402940244,415.4612060440044,383.7113556015034,0.0174839909491582,0.24557354465817163,MSFT
2024-05-16,414.47613525390625,418.83761399416454,413.84605341031005,415.273599957198,17530100,58.80597095321261,400.4451736450195,1.8050268199421566,417.5436246161618,383.3467226738772,-0.004940075746313943,-0.388142391538202,MSFT
2024-05-17,413.708251953125,416.37634285020215,411.56198942365705,416.00221762948183,15352200,57.9893965129003,401.5187286376953,2.2305207364709645,419.1100466675292,383.92741060786136,-0.0018526598649903914,-0.6156830427732526,MSFT
2024-05-20,418.7589111328125,420.1667782061981,413.49168315107727,413.7082803966284,16272100,61.75146490735849,402.75440521240233,2.9413674633393043,421.5059777618816,384.0028326629231,0.012208263083569815,-0.4489782796537307,MSFT
